,city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
1770319,Faimes,Faimes,,50.6667,5.2667,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,149.4,3947.0,3947.0,4,Europe/Brussels,False,1056664961
1770320,Oreye,Oreye,Oerle,50.7333,5.3667,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,199.2,3912.0,3912.0,3,Europe/Brussels,False,1056513686
1770321,Everberg,Everberg,,50.8783,4.5703,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,420.0,3882.0,3882.0,3,Europe/Brussels,False,1056077927
1770322,Hamoir,Hamoir,,50.4333,5.5333,Belgium,BE,BEL,Wallonia,Wallonia,BE-WAL,region,,143.3,3872.0,3872.0,4,Europe/Brussels,False,1056395053
1770323,Zandvliet,Zandvliet,Santvliet,51.3592,4.3089,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,223.5,3864.0,3864.0,3,Europe/Brussels,True,1056877174
1770324,De Klinge,De Klinge,La Clinge,51.2564,4.09,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,362.4,3855.0,3855.0,3,Europe/Brussels,False,1056061859
1770325,Putte,Putte,Brabants-Putte|Brabant-Putte,51.3506,4.3978,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,659.7,3833.0,3833.0,3,Europe/Brussels,False,1056101064
1770326,Kemzeke,Kemzeke,Kemseke,51.2056,4.0751,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,383.6,3813.0,3813.0,3,Europe/Brussels,False,1056237494
1770327,Leuven,Leuven,Louvain-la-Neuve|Louvain,50.9258,4.7017,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,minor,826.4,3793.0,3793.0,3,Europe/Brussels,False,1056866572
1770328,Olmen,Olmen,,51.1412,5.1508,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,222.4,3788.0,3788.0,3,Europe/Brussels,False,1056609487
1770329,Bevere,Bevere,,50.8513,3.5943,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,600.2,3787.0,3787.0,3,Europe/Brussels,False,1056881566
1770330,Zwartberg,Zwartberg,Zwartberg-Cités,51.0,5.5,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,690.8,3785.0,3785.0,3,Europe/Brussels,False,1056332605
1770331,Boekt,Boekt,,51.0119,5.28,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,504.1,3700.0,3700.0,3,Europe/Brussels,False,1056845256
1770332,Bellegem,Bellegem,Belleghem,50.7667,3.2667,Belgium,BE,BEL,Flanders,Flanders,BE-VLG,region,,264.0,3691.0,3691.0,3,Europe/Brussels,False,1056777173
